id,name,description,industry,location,founded_year,employee_count,revenue_range
48540,Patterson Ltd,automated engine for student analytics.,Education,USA,2001,2730,100M-500M
48541,Allison and Sons,real-time solution for molecular analysis.,Biotech,France,2012,2804,50M-100M
48542,"Hardy, Fernandez and Key",automated software for gene editing.,Biotech,Norway,2015,1966,100M-500M
48543,Lewis Group,automated solution for autonomous driving.,Automotive,Netherlands,2003,542,50M-100M
48544,Monroe-Keith,AI-powered system for student analytics.,Education,Germany,2006,2893,500M+
48545,Cisneros-Bean,automated system for route optimization.,Logistics,Norway,2018,4474,100M-500M
48546,Thomas Group,cloud-native software for personalized learning.,Education,Sweden,2000,3260,100M-500M
48547,Arnold Ltd,distributed system for renewable energy.,Energy,Sweden,2012,3776,100M-500M
48548,"Sherman, Scott and Sullivan",real-time platform for autonomous driving.,Automotive,Netherlands,2017,1112,100M-500M
48549,"Frost, Miller and Thomas",cloud-native software for patient monitoring.,Healthcare,Finland,2019,3169,100M-500M
48550,"Miller, Heath and Morales",machine learning platform for data pipelines.,Technology,UK,1995,3033,50M-100M
48551,Brooks Group,data-driven infrastructure for patient monitoring.,Healthcare,USA,2010,4377,500M+
48552,"Villanueva, Roberts and Brown",automated solution for smart grid.,Energy,Norway,1995,2823,500M+
48553,"Salas, Rodriguez and Castillo",machine learning engine for renewable energy.,Energy,Norway,2024,4903,500M+
48554,Shelton PLC,real-time infrastructure for 5G analytics.,Telecom,France,2001,1587,100M-500M
48555,"Price, Wood and Garrett",automated solution for renewable energy.,Energy,USA,2011,4029,50M-100M
48556,"Herrera, Santos and Moreno",real-time solution for renewable energy.,Energy,UK,2012,2356,500M+
48557,Mack LLC,automated solution for pricing optimization.,Retail,Finland,2024,695,500M+
48558,Hill PLC,distributed engine for smart grid.,Energy,UK,2009,1078,50M-100M
48559,Floyd-Mcmahon,automated system for diagnostics.,Healthcare,Sweden,2007,2096,500M+
48560,"Landry, Knox and Bennett",data-driven software for diagnostics.,Healthcare,Finland,2005,2073,500M+
48561,"Cowan, Silva and Young",AI-powered engine for personalized learning.,Education,Norway,2015,2807,500M+
48562,"Fitzpatrick, Weaver and Moody",AI-powered infrastructure for gene editing.,Biotech,Germany,2001,2175,500M+
48563,Perez PLC,cloud-native software for pricing optimization.,Retail,Germany,1997,1669,500M+
48564,Clark-Alvarez,predictive engine for student analytics.,Education,Finland,2015,3249,500M+
48565,"Jones, Smith and Torres",AI-powered solution for energy forecasting.,Energy,Germany,2003,2867,100M-500M
48566,Shaw-Lewis,automated engine for observability.,Technology,UK,2010,4324,50M-100M
48567,"Koch, Dixon and Bridges",distributed software for health data.,Healthcare,Netherlands,2007,2432,50M-100M
48568,Cooper Inc,distributed solution for banking analytics.,Fintech,France,1998,4968,50M-100M
48569,"Chan, May and Marshall",data-driven system for inventory planning.,Retail,UK,2013,2088,100M-500M
48570,"Boyd, Malone and Espinoza",real-time system for cloud infrastructure.,Technology,Germany,2005,1257,500M+
48571,"Young, Logan and Thompson",AI-powered system for drug discovery.,Biotech,UK,2006,211,50M-100M
48572,Wolfe Inc,machine learning platform for drug discovery.,Biotech,Netherlands,2002,479,100M-500M
48573,Heath Group,automated infrastructure for smart grid.,Energy,Sweden,2007,4452,500M+
48574,Chase-Moore,AI-powered solution for route optimization.,Logistics,Germany,2002,4628,100M-500M
48575,Ferguson Inc,automated software for supply chain visibility.,Logistics,Sweden,2021,4969,500M+
48576,Carter Group,distributed platform for energy forecasting.,Energy,Finland,2005,2320,50M-100M
48577,"Hart, Ortega and Robinson",AI-powered infrastructure for network optimization.,Telecom,USA,2008,627,100M-500M
48578,Cuevas PLC,AI-powered system for gene editing.,Biotech,Germany,1997,2178,100M-500M
48579,Robbins Inc,machine learning system for supply chain visibility.,Logistics,Finland,2013,579,100M-500M
48580,"Thompson, Turner and Blevins",automated solution for health data.,Healthcare,UK,1999,3474,100M-500M
48581,Chang Ltd,machine learning solution for renewable energy.,Energy,USA,2024,319,100M-500M
48582,Watson-Leblanc,real-time system for autonomous driving.,Automotive,Germany,1995,1474,500M+
48583,"Miranda, Black and Fox",machine learning infrastructure for vehicle telemetry.,Automotive,UK,2022,4150,500M+
48584,"Smith, Nelson and George",distributed system for demand forecasting.,Retail,Norway,2007,4225,50M-100M
48585,"Daniel, Davis and Grant",distributed infrastructure for autonomous driving.,Automotive,UK,1997,2465,500M+
48586,Thornton Inc,real-time platform for inventory planning.,Retail,USA,2004,1924,100M-500M
48587,Williams-Rogers,distributed solution for cloud infrastructure.,Technology,Finland,2014,697,100M-500M
48588,"Hayes, Logan and Bush",AI-powered platform for banking analytics.,Fintech,USA,1995,4460,50M-100M
48589,"Gibson, Brown and Edwards",real-time engine for vehicle telemetry.,Automotive,Norway,2004,4585,100M-500M
48590,Hall-Mckee,cloud-native system for vehicle telemetry.,Automotive,France,2014,335,50M-100M
48591,Carter LLC,AI-powered system for route optimization.,Logistics,Netherlands,2012,4828,100M-500M
48592,Griffin-Smith,automated system for energy forecasting.,Energy,Sweden,2011,4397,500M+
48593,Lee Ltd,real-time infrastructure for energy forecasting.,Energy,Sweden,2006,2690,500M+
48594,Cox-Kline,machine learning platform for smart grid.,Energy,Sweden,2009,258,50M-100M
48595,Frank-Davis,predictive platform for autonomous driving.,Automotive,UK,2001,4985,50M-100M
48596,"Miller, Turner and Boone",predictive infrastructure for diagnostics.,Healthcare,UK,2023,1473,100M-500M
48597,Oneill and Sons,machine learning solution for supply chain visibility.,Logistics,Netherlands,2002,173,50M-100M
48598,Gray and Sons,predictive platform for gene editing.,Biotech,Norway,2017,3708,100M-500M
48599,"Bennett, Petty and Richardson",data-driven platform for supply chain visibility.,Logistics,Germany,2017,181,50M-100M
48600,"Bailey, Murphy and Stanley",data-driven software for demand forecasting.,Retail,Norway,2017,4680,100M-500M
48601,Braun-Mata,machine learning platform for diagnostics.,Healthcare,Sweden,2018,1747,100M-500M
48602,Miranda PLC,AI-powered solution for molecular analysis.,Biotech,Sweden,2017,4257,100M-500M
48603,"Patel, Harris and Barr",data-driven system for molecular analysis.,Biotech,Germany,2018,496,50M-100M
48604,"Williams, Smith and Spence",real-time infrastructure for gene editing.,Biotech,Sweden,2003,1604,500M+
48605,Black-Baker,predictive system for network optimization.,Telecom,Sweden,2013,4254,100M-500M
48606,"Howard, Wilkerson and Graham",real-time engine for molecular analysis.,Biotech,Netherlands,2016,2853,500M+
48607,"Miller, Hicks and Crawford",AI-powered infrastructure for energy forecasting.,Energy,Netherlands,2024,3068,500M+
48608,Owens Inc,predictive engine for smart grid.,Energy,Germany,2020,3523,500M+
48609,Owen-Lewis,predictive system for 5G analytics.,Telecom,Norway,2001,825,500M+
48610,Johnson-White,cloud-native infrastructure for network optimization.,Telecom,Finland,2020,4286,50M-100M
48611,"Hood, Cook and Curry",real-time engine for route optimization.,Logistics,Netherlands,2020,661,100M-500M
48612,"Dawson, Hill and Odonnell",machine learning infrastructure for demand forecasting.,Retail,Norway,1997,1774,100M-500M
48613,"Thompson, Rivera and Harris",distributed platform for inventory planning.,Retail,Finland,2015,4037,500M+
48614,Lang Group,predictive solution for student analytics.,Education,Norway,2022,2288,50M-100M
48615,Brown LLC,distributed infrastructure for personalized learning.,Education,Germany,1996,44,1M-10M
48616,Robertson-Austin,cloud-native system for renewable energy.,Energy,Germany,2023,4396,500M+
48617,Santos-Hendrix,data-driven platform for 5G analytics.,Telecom,Germany,2002,2611,50M-100M
48618,Montgomery and Sons,machine learning system for lending.,Fintech,Finland,2005,4500,50M-100M
48619,Browning Group,distributed platform for network optimization.,Telecom,Norway,1999,1638,100M-500M
48620,Stanley Ltd,automated solution for personalized learning.,Education,Netherlands,2005,4844,50M-100M
48621,Young LLC,automated system for drug discovery.,Biotech,Finland,2001,4417,100M-500M
48622,Smith Group,AI-powered infrastructure for demand forecasting.,Retail,USA,1995,54,10M-50M
48623,Garcia and Sons,distributed system for student analytics.,Education,France,2016,2563,100M-500M
48624,Chase Inc,data-driven system for personalized learning.,Education,Finland,2000,2151,500M+
48625,Smith Ltd,AI-powered system for lending.,Fintech,USA,1995,4773,50M-100M
48626,"Medina, Leon and Contreras",distributed platform for autonomous driving.,Automotive,Norway,2007,1536,500M+
48627,"Mitchell, Mckinney and Gross",predictive engine for autonomous driving.,Automotive,Finland,2014,2330,500M+
48628,Sullivan-Riddle,automated platform for student analytics.,Education,Netherlands,2008,2909,500M+
48629,Jones-Wong,cloud-native software for vehicle telemetry.,Automotive,Germany,1997,1792,500M+
48630,Brown and Sons,distributed engine for personalized learning.,Education,Finland,2003,2280,100M-500M
48631,Ortiz Ltd,cloud-native system for drug discovery.,Biotech,Finland,2013,357,100M-500M
48632,Guerra LLC,distributed engine for 5G analytics.,Telecom,Netherlands,2005,3655,50M-100M
48633,Hernandez-Jensen,data-driven solution for banking analytics.,Fintech,Norway,1999,827,50M-100M
48634,"Sanchez, Wilson and Williams",AI-powered solution for data pipelines.,Technology,France,2004,2787,500M+
48635,Diaz-Moore,machine learning software for cloud infrastructure.,Technology,Netherlands,2013,4904,50M-100M
48636,Willis PLC,real-time system for lending.,Fintech,USA,1999,690,100M-500M
48637,"Quinn, Jones and Green",predictive solution for 5G analytics.,Telecom,USA,2012,625,100M-500M
48638,"Whitehead, Williamson and Schmidt",data-driven solution for gene editing.,Biotech,Finland,2005,3474,500M+
48639,Cuevas Group,machine learning infrastructure for diagnostics.,Healthcare,Germany,2021,1122,100M-500M
48640,Mayer Group,cloud-native infrastructure for personalized learning.,Education,Germany,2003,2675,50M-100M
48641,"Sweeney, Thomas and Fisher",automated infrastructure for renewable energy.,Energy,Finland,2000,278,500M+
48642,"Li, Moore and Hoffman",automated system for vehicle telemetry.,Automotive,Netherlands,2006,2805,50M-100M
48643,Johnson LLC,machine learning infrastructure for gene editing.,Biotech,UK,1999,1657,100M-500M
48644,Davis Inc,real-time software for smart grid.,Energy,Sweden,1998,1996,100M-500M
48645,"White, Phillips and Casey",predictive infrastructure for data pipelines.,Technology,France,2015,3425,50M-100M
48646,Herring-Dawson,data-driven platform for autonomous driving.,Automotive,Norway,2007,1102,50M-100M
48647,"Bennett, Schultz and Wilson",predictive software for banking analytics.,Fintech,Finland,2015,2496,100M-500M
48648,Barry PLC,data-driven system for health data.,Healthcare,UK,2009,956,500M+
48649,Garcia-Joseph,distributed system for 5G analytics.,Telecom,Norway,2023,3936,500M+
48650,Quinn Inc,real-time infrastructure for lending.,Fintech,USA,2003,2976,100M-500M
48651,Sanchez Group,machine learning infrastructure for 5G analytics.,Telecom,Netherlands,2014,502,50M-100M
48652,"Bowers, Gibbs and Nelson",distributed engine for renewable energy.,Energy,Norway,2004,1814,100M-500M
48653,Matthews-Copeland,distributed infrastructure for network optimization.,Telecom,Sweden,2017,2407,100M-500M
48654,Mueller-Nguyen,AI-powered engine for network optimization.,Telecom,Finland,2009,2855,500M+
48655,"Lloyd, Fox and Aguilar",cloud-native solution for inventory planning.,Retail,France,2014,535,500M+
48656,Anderson-Phillips,cloud-native platform for pricing optimization.,Retail,Netherlands,2008,3134,50M-100M
48657,Aguilar PLC,distributed platform for autonomous driving.,Automotive,Finland,2015,716,50M-100M
48658,"Villarreal, Santiago and Williams",cloud-native solution for student analytics.,Education,Germany,2012,2711,500M+
48659,Williams and Sons,automated engine for patient monitoring.,Healthcare,Germany,2003,2604,100M-500M
48660,"Garza, Davis and Johnson",AI-powered platform for diagnostics.,Healthcare,Germany,2003,52,10M-50M
48661,"Ferguson, Chung and Long",AI-powered engine for autonomous driving.,Automotive,USA,2023,3307,50M-100M
48662,"Medina, Rodriguez and King",machine learning solution for data pipelines.,Technology,Sweden,2003,2565,50M-100M
48663,Everett PLC,automated engine for lending.,Fintech,Netherlands,2024,1158,100M-500M
48664,"Holmes, Fisher and Mccoy",cloud-native system for 5G analytics.,Telecom,Netherlands,2018,1321,50M-100M
48665,Anderson-Silva,distributed software for inventory planning.,Retail,Sweden,2007,2578,50M-100M
48666,Turner Ltd,machine learning infrastructure for network optimization.,Telecom,USA,2018,1624,100M-500M
48667,Ellis PLC,cloud-native engine for health data.,Healthcare,UK,2022,3103,50M-100M
48668,Taylor-Boyle,real-time software for molecular analysis.,Biotech,France,2007,4774,500M+
48669,"Lewis, Foster and Page",cloud-native software for banking analytics.,Fintech,Sweden,2001,2011,500M+
48670,"Fritz, Martinez and Gordon",real-time infrastructure for student analytics.,Education,Germany,2017,4588,50M-100M
48671,Medina-Roman,AI-powered solution for personalized learning.,Education,France,2014,4670,500M+
48672,Woods-Garcia,data-driven software for smart grid.,Energy,France,2022,1244,100M-500M
48673,Bowen-Warren,cloud-native software for personalized learning.,Education,USA,2011,272,50M-100M
48674,Harris Group,real-time software for cloud infrastructure.,Technology,UK,2006,2542,500M+
48675,Salinas-Ramirez,automated system for molecular analysis.,Biotech,USA,2010,4010,100M-500M
48676,Allison Ltd,real-time platform for drug discovery.,Biotech,Norway,1999,39,0-1M
48677,Phillips-Hicks,automated software for diagnostics.,Healthcare,Sweden,2000,3664,500M+
48678,"Alexander, Ferguson and Le",cloud-native engine for student analytics.,Education,UK,2012,1051,500M+
48679,"Vargas, Roth and Martinez",machine learning platform for cloud infrastructure.,Technology,Germany,2003,2727,50M-100M
48680,Wilson LLC,automated system for renewable energy.,Energy,Sweden,2011,2721,500M+
48681,Anderson Group,real-time solution for autonomous driving.,Automotive,Norway,2015,4599,100M-500M
48682,Rodriguez PLC,machine learning solution for patient monitoring.,Healthcare,France,2023,723,50M-100M
48683,Wood-Riddle,predictive solution for student analytics.,Education,Norway,2010,1474,100M-500M
48684,"Miller, Carter and Tyler",real-time infrastructure for gene editing.,Biotech,Germany,2006,2782,100M-500M
48685,Smith LLC,machine learning infrastructure for molecular analysis.,Biotech,USA,2016,2011,100M-500M
48686,Carroll Inc,real-time engine for diagnostics.,Healthcare,Sweden,2011,1339,50M-100M
48687,Davis-Lee,machine learning solution for personalized learning.,Education,Germany,2006,1154,50M-100M
48688,Rodriguez PLC,cloud-native platform for drug discovery.,Biotech,France,2023,4897,500M+
48689,"Weber, Willis and Valdez",distributed system for patient monitoring.,Healthcare,Germany,2006,310,500M+
48690,Mullen PLC,predictive software for diagnostics.,Healthcare,UK,2007,4715,500M+
48691,"Johnson, Davila and Owens",predictive software for vehicle telemetry.,Automotive,France,1996,4129,500M+
48692,Carter and Sons,predictive platform for health data.,Healthcare,Finland,2001,3644,50M-100M
48693,"Martinez, Skinner and Schmitt",real-time engine for route optimization.,Logistics,UK,2004,1208,100M-500M
48694,"Randall, Woods and Cruz",real-time engine for inventory planning.,Retail,Netherlands,1995,864,500M+
48695,Love-Browning,real-time platform for 5G analytics.,Telecom,USA,1997,2141,50M-100M
48696,King PLC,automated engine for cloud infrastructure.,Technology,Finland,2013,1617,50M-100M
48697,Jackson-Parsons,predictive platform for personalized learning.,Education,Norway,1995,221,50M-100M
48698,"Valdez, Price and Perez",machine learning engine for vehicle telemetry.,Automotive,Germany,2018,3029,500M+
48699,Peterson-Jenkins,cloud-native platform for energy forecasting.,Energy,UK,2020,712,50M-100M
48700,Washington-Cooper,cloud-native infrastructure for health data.,Healthcare,USA,2001,1800,500M+
48701,Brown PLC,AI-powered system for inventory planning.,Retail,France,2007,314,500M+
48702,Jackson Group,data-driven engine for cloud infrastructure.,Technology,Finland,2007,4584,500M+
48703,"Kramer, Ramirez and Knox",AI-powered system for supply chain visibility.,Logistics,Norway,2024,3009,100M-500M
48704,"Williamson, Moore and Porter",distributed engine for smart grid.,Energy,USA,2022,3758,100M-500M
48705,"Brown, Mason and Barber",predictive solution for supply chain visibility.,Logistics,Sweden,1998,1472,100M-500M
48706,"Moore, James and Wilkins",distributed platform for payments.,Fintech,Norway,2011,2879,100M-500M
48707,"Harris, Fernandez and Campbell",distributed infrastructure for gene editing.,Biotech,Netherlands,2003,4563,500M+
48708,"Brown, Walters and Harrell",real-time platform for student analytics.,Education,Netherlands,1998,1140,500M+
48709,"Hernandez, Cameron and Jackson",AI-powered platform for drug discovery.,Biotech,Netherlands,2009,1773,50M-100M
48710,Long PLC,AI-powered engine for renewable energy.,Energy,UK,2021,564,500M+
48711,Parks-Morris,machine learning solution for drug discovery.,Biotech,Sweden,2017,2264,100M-500M
48712,Brown Ltd,automated software for personalized learning.,Education,Norway,1995,3864,50M-100M
48713,Pope-Smith,AI-powered system for molecular analysis.,Biotech,Netherlands,2005,1309,50M-100M
48714,"Cook, Meyer and Martinez",real-time platform for data pipelines.,Technology,UK,2005,3618,500M+
48715,"Thomas, Knight and Arias",machine learning solution for personalized learning.,Education,Finland,2014,1855,500M+
48716,Mckenzie and Sons,distributed system for cloud infrastructure.,Technology,UK,2011,3738,100M-500M
48717,"Beck, Cox and Hernandez",AI-powered platform for network optimization.,Telecom,France,1998,4363,100M-500M
48718,"Campbell, Carr and Moore",machine learning engine for student analytics.,Education,France,2005,4254,50M-100M
48719,Foster-Luna,AI-powered solution for student analytics.,Education,Norway,2015,230,10M-50M
48720,Thomas-Valenzuela,machine learning infrastructure for demand forecasting.,Retail,USA,2024,3946,100M-500M
48721,Ortiz Group,distributed software for network optimization.,Telecom,Germany,2003,2043,50M-100M
48722,Hughes Inc,real-time engine for diagnostics.,Healthcare,France,2003,4409,100M-500M
48723,"Reynolds, Rogers and Garcia",real-time software for supply chain visibility.,Logistics,Norway,2017,4906,50M-100M
48724,Smith LLC,real-time software for vehicle telemetry.,Automotive,UK,2013,1199,50M-100M
48725,Ruiz Group,machine learning solution for 5G analytics.,Telecom,Finland,2000,2378,100M-500M
48726,Johnson-Walters,data-driven software for student analytics.,Education,Sweden,1998,1277,50M-100M
48727,Lee-Obrien,predictive system for energy forecasting.,Energy,Netherlands,2020,2178,100M-500M
48728,Sanchez PLC,automated platform for drug discovery.,Biotech,Sweden,1999,3737,100M-500M
48729,"Fox, Howard and Cabrera",AI-powered system for patient monitoring.,Healthcare,Germany,2012,3909,100M-500M
48730,Garrett Inc,cloud-native infrastructure for 5G analytics.,Telecom,Norway,2001,2169,100M-500M
48731,"Hernandez, Reeves and Mills",automated platform for health data.,Healthcare,Germany,2006,3387,100M-500M
48732,Harris Inc,distributed software for smart grid.,Energy,Netherlands,1996,4788,100M-500M
48733,Romero-Lewis,machine learning infrastructure for demand forecasting.,Retail,USA,2022,2772,50M-100M
48734,Joseph Inc,machine learning solution for lending.,Fintech,UK,2001,3594,50M-100M
48735,"Jimenez, Chan and Thomas",real-time software for banking analytics.,Fintech,Netherlands,2024,1124,100M-500M
48736,Cook-Vasquez,data-driven software for student analytics.,Education,Finland,2011,2567,100M-500M
48737,"Ramsey, Lyons and Munoz",predictive system for supply chain visibility.,Logistics,USA,1998,3645,500M+
48738,"Francis, Campbell and Gay",data-driven solution for autonomous driving.,Automotive,Netherlands,2002,3380,50M-100M
48739,Parsons Ltd,AI-powered engine for route optimization.,Logistics,USA,2020,1575,100M-500M
48740,Weaver Ltd,distributed engine for network optimization.,Telecom,Germany,2023,1570,100M-500M
48741,"Wolfe, Caldwell and Smith",real-time solution for supply chain visibility.,Logistics,USA,2008,3326,50M-100M
48742,"Myers, Taylor and Alexander",real-time infrastructure for route optimization.,Logistics,Finland,2024,979,500M+
48743,Hart-Wallace,cloud-native engine for diagnostics.,Healthcare,USA,2022,3749,50M-100M
48744,"Paul, Colon and Holloway",automated infrastructure for autonomous driving.,Automotive,Sweden,2010,3939,500M+
48745,Daniels-King,automated engine for patient monitoring.,Healthcare,Netherlands,2006,2100,50M-100M
48746,"Adkins, Williams and Oliver",cloud-native platform for observability.,Technology,Netherlands,2006,534,100M-500M
48747,Butler LLC,cloud-native software for network optimization.,Telecom,Norway,1997,513,100M-500M
48748,"Mueller, White and Weber",AI-powered platform for lending.,Fintech,Norway,2004,4400,50M-100M
48749,"Conway, Lee and Stone",AI-powered platform for demand forecasting.,Retail,UK,2005,525,50M-100M
48750,Black-Mendoza,machine learning engine for vehicle telemetry.,Automotive,UK,2011,3695,50M-100M
48751,Robles and Sons,predictive platform for banking analytics.,Fintech,UK,2002,3514,500M+
48752,Roberts Group,distributed software for energy forecasting.,Energy,Finland,2010,3993,500M+
48753,Miller PLC,data-driven software for drug discovery.,Biotech,UK,2006,4154,500M+
48754,Solomon and Sons,distributed engine for vehicle telemetry.,Automotive,France,1995,1775,500M+
48755,Merritt-Weaver,cloud-native platform for cloud infrastructure.,Technology,Sweden,2000,2553,100M-500M
48756,"Stevens, Wall and Coleman",machine learning engine for route optimization.,Logistics,Germany,2021,1072,500M+
48757,"Price, Burns and Smith",AI-powered platform for drug discovery.,Biotech,Norway,2005,4122,100M-500M
48758,Richardson-Rose,data-driven solution for network optimization.,Telecom,Finland,2019,3684,500M+
48759,Johnson-Howard,distributed infrastructure for banking analytics.,Fintech,Netherlands,1998,32,1M-10M
48760,Brown and Sons,distributed system for personalized learning.,Education,Finland,1996,2319,100M-500M
48761,Flores-Alvarez,real-time software for 5G analytics.,Telecom,Netherlands,2002,4632,500M+
48762,"Eaton, Allen and Waller",data-driven software for smart grid.,Energy,Sweden,2017,1081,100M-500M
48763,Schaefer-Walker,data-driven software for energy forecasting.,Energy,Germany,2013,3585,100M-500M
48764,"Johnson, Giles and Acevedo",cloud-native infrastructure for supply chain visibility.,Logistics,France,2010,4121,500M+
48765,Lara-Jones,real-time system for personalized learning.,Education,Germany,2023,1261,500M+
48766,"Leblanc, Kelly and Williams",predictive engine for network optimization.,Telecom,USA,2016,2730,100M-500M
48767,"Alexander, Wong and Smith",machine learning system for autonomous driving.,Automotive,Finland,2005,3528,50M-100M
48768,Washington Group,AI-powered engine for network optimization.,Telecom,Germany,2005,1098,500M+
48769,Jones-Duncan,automated solution for smart grid.,Energy,Finland,2013,636,100M-500M
48770,Moore PLC,data-driven platform for supply chain visibility.,Logistics,Sweden,2000,2873,100M-500M
48771,Rodriguez PLC,predictive system for 5G analytics.,Telecom,Germany,2010,3153,500M+
48772,Hernandez-Melendez,automated infrastructure for data pipelines.,Technology,USA,2019,3464,500M+
48773,Hickman PLC,machine learning software for personalized learning.,Education,UK,2005,2684,50M-100M
48774,Watts LLC,data-driven software for fraud detection.,Fintech,France,2008,2975,100M-500M
48775,Garcia-Williams,machine learning platform for student analytics.,Education,Norway,2009,708,50M-100M
48776,Clay-Lewis,real-time infrastructure for route optimization.,Logistics,Netherlands,2007,733,100M-500M
48777,"Rose, Roman and Adams",automated infrastructure for molecular analysis.,Biotech,Sweden,2007,1791,100M-500M
48778,"Wagner, Knight and King",distributed software for banking analytics.,Fintech,UK,1997,2920,50M-100M
48779,Maldonado PLC,distributed software for energy forecasting.,Energy,USA,2000,1480,50M-100M
48780,"Turner, Smith and Chang",distributed platform for student analytics.,Education,Norway,2018,4181,100M-500M
48781,"West, Edwards and Keller",AI-powered infrastructure for molecular analysis.,Biotech,Germany,2007,4195,50M-100M
48782,"Gutierrez, Lee and Jones",real-time system for route optimization.,Logistics,USA,2023,2623,500M+
48783,Carter-Dean,distributed system for payments.,Fintech,Sweden,2005,286,100M-500M
48784,Brown Ltd,AI-powered infrastructure for renewable energy.,Energy,Netherlands,2016,2831,50M-100M
48785,Cabrera-Campbell,real-time solution for data pipelines.,Technology,Netherlands,1996,1698,50M-100M
48786,Davila-Bryant,machine learning solution for health data.,Healthcare,Norway,2011,609,50M-100M
48787,Marsh Group,AI-powered software for autonomous driving.,Automotive,France,2022,3186,500M+
48788,"Cole, Klein and Lane",distributed platform for data pipelines.,Technology,France,1998,2221,100M-500M
48789,Galvan-Bell,cloud-native infrastructure for diagnostics.,Healthcare,Netherlands,1999,2447,500M+
48790,"Garcia, Joseph and Young",distributed system for gene editing.,Biotech,Norway,2002,2843,50M-100M
48791,Alvarado-Maxwell,distributed platform for vehicle telemetry.,Automotive,UK,2022,3108,100M-500M
48792,Jarvis Group,real-time solution for student analytics.,Education,Germany,1999,171,50M-100M
48793,Clark-Beltran,automated system for 5G analytics.,Telecom,Finland,2019,2794,50M-100M
48794,"Evans, Jones and Palmer",real-time engine for drug discovery.,Biotech,France,2024,4672,500M+
48795,Rodriguez-Lucas,cloud-native software for payments.,Fintech,Norway,2021,4363,50M-100M
48796,"Simmons, Foster and Graham",cloud-native system for lending.,Fintech,USA,1996,3629,50M-100M
48797,Gordon and Sons,real-time solution for network optimization.,Telecom,France,2023,4739,50M-100M
48798,Taylor-Kirk,cloud-native platform for vehicle telemetry.,Automotive,USA,2021,1757,500M+
48799,Brown-Owen,distributed software for data pipelines.,Technology,Germany,2019,2287,500M+
48800,Brooks-Gomez,predictive system for network optimization.,Telecom,Germany,2011,2592,500M+
48801,"Fernandez, Collins and Black",machine learning engine for cloud infrastructure.,Technology,Finland,2001,3373,100M-500M
48802,Wood-Lee,cloud-native solution for gene editing.,Biotech,UK,1997,2427,500M+
48803,"Schultz, Jones and Wiley",automated software for energy forecasting.,Energy,USA,2006,4469,50M-100M
48804,"Riley, Holder and Nelson",machine learning system for pricing optimization.,Retail,Norway,2018,3395,100M-500M
48805,Briggs and Sons,cloud-native infrastructure for drug discovery.,Biotech,USA,1996,1856,50M-100M
48806,Allen-Medina,data-driven system for energy forecasting.,Energy,France,2018,2539,100M-500M
48807,Malone Inc,predictive solution for cloud infrastructure.,Technology,Finland,2008,2153,50M-100M
48808,"Baker, Wilson and Anderson",cloud-native platform for payments.,Fintech,Germany,2023,2492,50M-100M
48809,Miller-Gibson,distributed platform for student analytics.,Education,UK,1996,4285,500M+
48810,"Jennings, Duncan and Payne",predictive platform for route optimization.,Logistics,Finland,1998,2459,500M+
48811,Fuller-Larson,automated system for energy forecasting.,Energy,Netherlands,2015,2729,100M-500M
48812,Alvarez-Little,distributed system for student analytics.,Education,USA,2008,97,10M-50M
48813,Brown-Daniels,real-time platform for gene editing.,Biotech,Finland,1996,2650,500M+
48814,Hurley and Sons,predictive engine for data pipelines.,Technology,Finland,2005,2252,100M-500M
48815,Elliott LLC,distributed software for 5G analytics.,Telecom,Germany,2023,4624,50M-100M
48816,Frazier Group,machine learning infrastructure for gene editing.,Biotech,Germany,1995,4746,500M+
48817,"Cunningham, Lopez and Howard",cloud-native engine for route optimization.,Logistics,France,2017,746,100M-500M
48818,Dixon-Evans,AI-powered platform for supply chain visibility.,Logistics,UK,1998,2613,500M+
48819,Nelson Inc,automated infrastructure for supply chain visibility.,Logistics,UK,1995,3217,500M+
48820,Cook and Sons,data-driven engine for vehicle telemetry.,Automotive,Finland,2005,4931,50M-100M
48821,Jordan-Nguyen,machine learning infrastructure for diagnostics.,Healthcare,Sweden,2015,721,50M-100M
48822,Todd-Rodriguez,automated software for health data.,Healthcare,France,1996,620,500M+
48823,Fleming PLC,AI-powered platform for molecular analysis.,Biotech,Netherlands,2014,1409,500M+
48824,Kirby LLC,data-driven solution for pricing optimization.,Retail,France,2007,2063,100M-500M
48825,"Hurley, Bryant and Ross",AI-powered system for 5G analytics.,Telecom,Finland,2011,1099,500M+
48826,"Cox, Kelly and Larson",data-driven engine for personalized learning.,Education,Germany,2000,2170,500M+
48827,"Smith, Little and King",predictive software for patient monitoring.,Healthcare,USA,2005,2876,100M-500M
48828,Salazar-Willis,distributed software for supply chain visibility.,Logistics,UK,2020,2767,50M-100M
48829,Anderson-Williams,machine learning infrastructure for pricing optimization.,Retail,Finland,2003,235,50M-100M
48830,Shaw Group,data-driven platform for health data.,Healthcare,UK,1997,2488,100M-500M
48831,"Peck, Johnson and Bell",cloud-native engine for energy forecasting.,Energy,France,2005,850,50M-100M
48832,"Garrett, Smith and Franco",machine learning engine for autonomous driving.,Automotive,USA,1997,565,50M-100M
48833,Daniels-Murray,AI-powered infrastructure for network optimization.,Telecom,UK,1995,980,50M-100M
48834,"Barr, Campbell and Williamson",real-time engine for payments.,Fintech,Norway,2009,4300,100M-500M
